#LETTER NAME              ENABLED LANGUAGE       FIXED DESCRIPTION
-       anonymous         yes     NONE           no    Include tags for non-named objects like lambda
F       fileScope         yes     NONE           no    Include tags of file scope
f       inputFile         yes     NONE           no    Include an entry for the base file name of every input file
g       guest             yes     NONE           no    Include tags generated by guest parsers
p       pseudo            yes     NONE           no    Include pseudo tags
q       qualified         yes     NONE           no    Include an extra class-qualified tag entry for each tag
r       reference         yes     NONE           no    Include reference tags
s       subparser         yes     NONE           no    Include tags generated by subparsers
-       configPrefixed    yes     Kconfig        no    prepend CONFIG_ to config names
-       funcmap           yes     QemuHX         no    Include mapping SQMP to C function name
-       whitespaceSwapped yes     Robot          no    Include tags swapping whitespace and underscore chars
-       nextlink          no      ZettelMetadata no    Include extra tags for next zettel links
-       titletag          no      ZettelMetadata no    Include extra tags for zettel titles
#LETTER	NAME	ENABLED	LANGUAGE	FIXED	DESCRIPTION
-	anonymous	yes	NONE	no	Include tags for non-named objects like lambda
F	fileScope	yes	NONE	no	Include tags of file scope
f	inputFile	yes	NONE	no	Include an entry for the base file name of every input file
g	guest	yes	NONE	no	Include tags generated by guest parsers
p	pseudo	yes	NONE	no	Include pseudo tags
q	qualified	yes	NONE	no	Include an extra class-qualified tag entry for each tag
r	reference	yes	NONE	no	Include reference tags
s	subparser	yes	NONE	no	Include tags generated by subparsers
-	configPrefixed	yes	Kconfig	no	prepend CONFIG_ to config names
-	funcmap	yes	QemuHX	no	Include mapping SQMP to C function name
-	whitespaceSwapped	yes	Robot	no	Include tags swapping whitespace and underscore chars
-	nextlink	no	ZettelMetadata	no	Include extra tags for next zettel links
-	titletag	no	ZettelMetadata	no	Include extra tags for zettel titles
